customer_id,age,gender,tenure_months,subscription_type,monthly_charges,total_spend,support_tickets,last_login_days,churn
1,56,Male,42,Basic,1347.74,11718.83,2,24,0
2,46,Male,18,Standard,997.07,44474.49,0,21,0
3,32,Female,46,Premium,396.47,14375.8,2,8,0
4,60,Female,10,Premium,114.68,34905.5,8,6,0
5,25,Female,39,Standard,753.55,20059.39,1,3,0
6,38,Female,30,Standard,1527.83,13474.88,4,16,1
7,56,Male,26,Standard,1924.82,7630.35,0,14,0
8,36,Female,7,Standard,919.06,48623.49,9,22,0
9,40,Male,7,Premium,794.24,26295.22,0,8,0
10,28,Male,5,Standard,947.32,6180.37,6,27,0
11,28,Female,1,Standard,912.77,10341.29,9,15,0
12,41,Male,46,Premium,1289.17,20661.21,9,5,0
13,53,Male,18,Basic,1494.88,27436.44,2,27,0
14,57,Male,13,Premium,1591.42,9498.94,0,16,0
15,41,Male,25,Basic,1334.25,14247.55,0,24,1
16,20,Female,40,Standard,931.68,39293.46,4,6,0
17,39,Female,8,Premium,1905.2,21165.34,2,16,1
18,19,Male,10,Standard,1450.94,569.42,3,13,1
19,41,Female,32,Premium,910.65,3170.04,5,14,1
20,61,Male,17,Basic,948.51,22246.76,1,19,0
21,47,Female,38,Premium,1654.16,3475.83,6,20,1
22,55,Female,15,Standard,937.03,9108.27,4,17,0
23,19,Female,15,Premium,1080.92,36529.88,7,18,0
24,38,Female,57,Standard,653.95,24279,3,17,1
25,50,Female,48,Premium,1693.94,24381.87,7,13,0
26,29,Male,40,Basic,1092.34,30111.8,3,19,0
27,39,Female,51,Premium,1149.82,39531.67,4,22,0
28,61,Male,20,Premium,1773.28,8350,2,4,0
29,42,Male,15,Premium,1848.98,9065.86,3,29,1
30,44,Female,35,Premium,1665.97,6509.49,8,6,0
31,59,Male,6,Basic,224.2,46873.05,4,11,0
32,45,Female,30,Standard,942.67,29075.87,3,16,1
33,33,Male,57,Premium,752.33,5085.7,3,29,1
34,32,Male,8,Premium,505.68,11421.96,6,18,1
35,64,Female,31,Premium,1827.01,36416.71,1,15,0
36,61,Female,48,Basic,1791.13,1935.09,3,1,0
37,20,Female,47,Standard,984.07,36419.95,2,11,0
38,54,Female,32,Standard,355.67,45617.49,6,28,0
39,24,Male,45,Premium,125.39,3290.9,3,16,0
40,38,Female,58,Premium,933.09,9727.81,7,20,0
41,26,Male,52,Standard,175.91,617.74,4,2,0
42,56,Male,15,Premium,1258.16,5897.01,8,7,0
43,35,Male,18,Premium,1255.98,31041.08,8,4,0
44,21,Male,13,Premium,1807.98,2718.48,2,20,0
45,42,Male,24,Basic,461.09,21578.84,8,22,1
46,31,Male,40,Basic,805.65,25418.39,3,23,0
47,26,Female,14,Standard,1733.14,45378.14,8,16,0
48,43,Male,28,Basic,1001.16,23977.37,1,20,0
49,19,Male,11,Basic,213.47,7556,4,24,0
50,37,Male,6,Standard,310.49,14819.96,5,26,0
51,45,Female,56,Basic,1645.56,33773.67,2,27,0
52,64,Female,25,Standard,1513.03,6049.73,1,24,1
53,24,Male,1,Premium,1764.17,11971.27,0,13,0
54,61,Female,25,Standard,325.84,49790.97,6,22,0
55,25,Male,2,Standard,1544.79,773.96,3,13,1
56,64,Female,32,Standard,1344.7,8033.07,7,3,1
57,52,Male,13,Premium,541.36,42262.45,7,14,0
58,31,Female,33,Premium,1950.42,5518.41,7,1,0
59,34,Female,32,Premium,1183.67,2165.23,1,20,1
60,53,Female,56,Standard,1823.07,6504.96,4,3,1
61,57,Male,24,Standard,1732.28,34833.06,7,28,1
62,21,Male,27,Standard,732.94,49658.97,9,16,0
63,19,Male,4,Standard,1118.32,29736.46,1,28,0
64,23,Female,24,Standard,919.6,6653.66,1,22,0
65,59,Female,23,Standard,1447.25,9597.05,0,2,0
66,21,Male,29,Standard,1217.28,27115.26,5,21,0
67,46,Female,34,Basic,1591.22,35925.08,4,27,0
68,35,Male,21,Premium,122.33,33314.15,0,20,1
69,43,Male,30,Basic,1406.81,28948.96,7,15,0
70,61,Male,26,Premium,706.22,49320.35,7,11,0
71,51,Male,20,Standard,526.02,10302.68,4,19,1
72,27,Female,16,Basic,1622.36,9058.75,2,2,0
73,53,Female,3,Standard,269.52,43023.53,7,24,0
74,31,Female,49,Basic,534.07,14895.68,2,4,0
75,48,Male,37,Basic,487.1,16960.06,3,15,1
76,32,Female,58,Standard,897.67,27659.07,6,25,0
77,25,Male,40,Basic,712.44,19373.1,6,6,0
78,31,Male,44,Basic,1468.89,14738.2,3,19,1
79,40,Male,25,Premium,1428.8,45900.18,8,15,0
80,57,Male,23,Standard,718.39,6899.07,5,16,0
81,38,Male,44,Standard,930.26,20512.34,7,1,0
82,33,Male,59,Basic,495.03,646.87,6,11,1
83,62,Female,1,Standard,1374.59,40468.96,3,25,0
84,35,Female,33,Premium,852.82,8836.73,1,12,0
85,64,Female,15,Premium,352.37,38763,1,4,0
86,41,Female,17,Standard,341.8,7855.85,7,15,0
87,43,Male,34,Standard,712.41,21128.57,7,29,1
88,42,Male,17,Premium,1519.92,36545.15,0,27,0
89,62,Female,52,Standard,148.46,13905.04,0,7,0
90,58,Female,58,Basic,589.77,16038.9,3,23,1
91,46,Female,41,Standard,408.72,33532.46,0,27,1
92,32,Female,44,Basic,1917.31,9791.2,9,13,0
93,62,Female,4,Premium,1440.04,47613.33,0,7,0
94,18,Female,13,Standard,543.14,9844.99,9,28,0
95,42,Female,4,Premium,494.18,37624.78,4,24,1
96,24,Female,7,Standard,1730.26,40228.64,0,17,1
97,26,Male,46,Basic,461.43,19031.34,9,19,0
98,41,Male,59,Standard,1994.41,8233.84,5,11,1
99,18,Male,9,Premium,636.38,8712.22,3,10,0
100,61,Male,23,Basic,260.23,49279.79,9,15,1
101,25,Female,33,Standard,1412.79,36407.79,4,25,0
102,41,Male,33,Premium,1258.32,22777.35,8,21,0
103,28,Female,20,Premium,1999.66,13238.81,1,14,1
